"Step","model_type: resnet - Train/Accuracies","model_type: resnet - Train/Accuracies__MIN","model_type: resnet - Train/Accuracies__MAX"
"50","0.13100585937499998","0.119296875","0.144609375"
"100","0.2147265625","0.184296875","0.2460546875"
"150","0.291455078125","0.25890625","0.3270703125"
"200","0.339033203125","0.31296875","0.3675"
"250","0.380908203125","0.34953125","0.415703125"
"300","0.417001953125","0.38296875","0.4544921875"
"350","0.44419921875","0.4075390625","0.4851171875"
"400","0.48380859374999996","0.4436328125","0.5301953125"
"450","0.50818359375","0.4701953125","0.5510546875"
"500","0.533076171875","0.492578125","0.5752734375"
"550","0.552783203125","0.513984375","0.594140625"
"600","0.5891406250000001","0.5479296875","0.632421875"
"650","0.598720703125","0.5573828125","0.6444140625"
"700","0.62595703125","0.5865234375","0.6667578125"
"750","0.642353515625","0.6025390625","0.6849609375"
"800","0.6637304687500001","0.6219140625","0.7092578125"
"850","0.67740234375","0.6374609375","0.72"
"900","0.6868359375","0.6463671875","0.729609375"
"950","0.703740234375","0.6651953125","0.7448046875"
"1000","0.71873046875","0.68015625","0.7607421875"
"1050","0.734384765625","0.697578125","0.772265625"
"1100","0.749462890625","0.71578125","0.7874609375"
"1150","0.7594335937500001","0.7198828125","0.8013671875"
"1200","0.7716015625","0.73734375","0.809140625"
"1250","0.7811914062499999","0.7458984375","0.8150390625"
"1300","0.79099609375","0.756953125","0.8264453125"
"1350","0.804130859375","0.7726171875","0.8374609375"
"1400","0.81484375","0.7871484375","0.8433203125"
"1450","0.820849609375","0.7916796875","0.85390625"
"1500","0.8290234375","0.8001953125","0.86046875"
"1550","0.834267578125","0.8083203125","0.8584375"
"1600","0.83591796875","0.8070703125","0.8627734375"
"1650","0.839775390625","0.8119140625","0.866953125"
"1700","0.850810546875","0.8249609375","0.8744140625"
"1750","0.8487109375","0.8272265625","0.869921875"
"1800","0.8568164062500001","0.832890625","0.8810546875"
"1850","0.85546875","0.833359375","0.878125"
"1900","0.8613574218750001","0.8366796875","0.885703125"
"1950","0.8685839843750001","0.8481640625","0.888671875"
"2000","0.8691796875","0.851015625","0.8899609375"
"2050","0.8731152343749999","0.8526953125","0.890546875"
"2100","0.878720703125","0.8579296875","0.9002734375"
"2150","0.8778710937499999","0.8580078125","0.89796875"
"2200","0.878740234375","0.85984375","0.898671875"
"2250","0.8796289062499999","0.8588671875","0.8995703125"
"2300","0.881337890625","0.86421875","0.8976171875"
"2350","0.888193359375","0.8727734375","0.9039453125"
"2400","0.88810546875","0.8715625","0.9053125"
"2450","0.8868066406249999","0.8710546875","0.9048828125"
"2500","0.890927734375","0.8755078125","0.9075390625"
"2550","0.8951953125","0.881796875","0.9080078125"
"2600","0.896533203125","0.8799609375","0.9106640625"
"2650","0.894033203125","0.879375","0.90921875"
"2700","0.8986328125","0.8831640625","0.9145703125"
"2750","0.8974023437499999","0.8843359375","0.910625"
"2800","0.901328125","0.88640625","0.9179296875"
"2850","0.90064453125","0.8887890625","0.9152734375"
"2900","0.902197265625","0.8880078125","0.91703125"
"2950","0.903681640625","0.8878125","0.9192578125"
"3000","0.904609375","0.8908984375","0.918671875"
"3050","0.9028906250000001","0.8891015625","0.9181640625"
"3100","0.905966796875","0.8930859375","0.919453125"
"3150","0.90697265625","0.89359375","0.92015625"
"3200","0.9045703125","0.8922265625","0.91703125"
"3250","0.907421875","0.8949609375","0.919140625"
"3300","0.91275390625","0.9008984375","0.92453125"
"3350","0.9108886718750001","0.8979296875","0.922578125"
"3400","0.9130664062499999","0.9000390625","0.9248046875"
"3450","0.91412109375","0.903046875","0.925390625"
"3500","0.91677734375","0.905390625","0.92828125"
"3550","0.9141601562499999","0.902578125","0.9263671875"
"3600","0.914404296875","0.9018359375","0.92890625"
"3650","0.916015625","0.9075390625","0.9250390625"
"3700","0.9181445312500001","0.9058984375","0.9298828125"
"3750","0.919453125","0.911015625","0.9296875"
"3800","0.919736328125","0.90890625","0.9298828125"
"3850","0.91650390625","0.903984375","0.9288671875"
"3900","0.91916015625","0.910078125","0.92984375"
"3950","0.918544921875","0.90921875","0.92734375"
"4000","0.916728515625","0.90671875","0.9280078125"
"4050","0.920302734375","0.9085546875","0.9311328125"
"4100","0.921083984375","0.9100390625","0.930625"
"4150","0.920361328125","0.90921875","0.9312890625"
"4200","0.9233496093750001","0.9128125","0.9346875"
"4250","0.92271484375","0.9118359375","0.933359375"
"4300","0.924482421875","0.914140625","0.9339453125"
"4350","0.9246484374999999","0.9131640625","0.935078125"
"4400","0.9255859375","0.91515625","0.9342578125"
"4450","0.924296875","0.9131640625","0.9353515625"
"4500","0.923740234375","0.914375","0.931640625"
"4550","0.9259277343749999","0.9162890625","0.9349609375"
"4600","0.9265917968749999","0.916015625","0.9356640625"
"4650","0.9264062499999999","0.920546875","0.9348828125"
"4700","0.929453125","0.92140625","0.936953125"
"4750","0.924599609375","0.9165625","0.934296875"
"4800","0.928447265625","0.920625","0.9365625"
"4850","0.9267871093750001","0.915234375","0.936875"
"4900","0.9304882812499999","0.9221875","0.9379296875"
"4950","0.9261230468749999","0.9151953125","0.9361328125"
"5000","0.9302734375","0.91953125","0.93859375"
"5050","0.93056640625","0.9234375","0.9378515625"
"5100","0.929501953125","0.9209375","0.938984375"
"5150","0.932763671875","0.9235546875","0.9412109375"
"5200","0.92740234375","0.9166015625","0.93640625"
"5250","0.9307519531249999","0.9225","0.940546875"
"5300","0.929140625","0.921171875","0.937265625"
"5350","0.9322265625","0.9252734375","0.939765625"
"5400","0.931142578125","0.9234765625","0.94"
"5450","0.931591796875","0.9242578125","0.93859375"
"5500","0.9334570312499999","0.925390625","0.9425"
"5550","0.931640625","0.9232421875","0.9403125"
"5600","0.9334765625000001","0.9275","0.942890625"
"5650","0.9345703125","0.9271484375","0.942109375"
"5700","0.9330175781250001","0.92390625","0.9428125"
"5750","0.9361328125","0.9290625","0.9438671875"
"5800","0.935556640625","0.9273046875","0.9428125"
"5850","0.934013671875","0.9247265625","0.94359375"
"5900","0.935439453125","0.927421875","0.94296875"
"5950","0.936083984375","0.9284375","0.9433984375"
"6000","0.938564453125","0.9296484375","0.9457421875"
"6050","0.937265625","0.9301171875","0.944296875"
"6100","0.936875","0.9300390625","0.94390625"
"6150","0.93916015625","0.9324609375","0.9462109375"
"6200","0.93548828125","0.929140625","0.94296875"
"6250","0.937822265625","0.931640625","0.9450390625"
"6300","0.938974609375","0.9323828125","0.9453515625"
"6350","0.938701171875","0.930859375","0.9466015625"
"6400","0.9387890624999999","0.9321875","0.945625"
"6450","0.9386328125000001","0.9328125","0.9458984375"
"6500","0.9399902343750001","0.9333984375","0.9476953125"
"6550","0.9383886718750001","0.9313671875","0.9454296875"
"6600","0.9409765625000001","0.93484375","0.947734375"
"6650","0.939111328125","0.9322265625","0.9462109375"
"6700","0.9418164062500001","0.93515625","0.948828125"
"6750","0.941884765625","0.934296875","0.9481640625"
"6800","0.9414648437500001","0.93578125","0.94703125"
"6850","0.93984375","0.9331640625","0.94625"
"6900","0.9424609374999999","0.9367578125","0.9481640625"
"6950","0.94130859375","0.9354296875","0.9476953125"
"7000","0.9418457031249999","0.9321484375","0.950546875"
"7050","0.94255859375","0.935703125","0.9498046875"
"7100","0.9439941406250001","0.9391796875","0.94953125"
"7150","0.9426953124999999","0.9365625","0.9492578125"
"7200","0.9456152343750001","0.9408203125","0.95140625"
"7250","0.9444238281249999","0.9371484375","0.9509765625"
"7300","0.9402441406250001","0.9333984375","0.9459375"
"7350","0.94310546875","0.9371484375","0.94859375"
"7400","0.943955078125","0.9354296875","0.951875"
"7450","0.945654296875","0.9401953125","0.9531640625"
"7500","0.944765625","0.9383984375","0.9508984375"
"7550","0.943671875","0.9369921875","0.9511328125"
"7600","0.943330078125","0.9369140625","0.9505859375"
"7650","0.943623046875","0.9365234375","0.9497265625"
"7700","0.944521484375","0.93765625","0.95109375"
"7750","0.9427539062499999","0.9371484375","0.950859375"
"7800","0.9446484374999999","0.9394921875","0.9498828125"
"7850","0.9443359375","0.9380859375","0.951796875"
"7900","0.94845703125","0.942734375","0.954375"
"7950","0.947421875","0.9430078125","0.9534765625"
"8000","0.9469140625","0.94140625","0.9537890625"
"8050","0.9454589843750001","0.938984375","0.951171875"
"8100","0.94796875","0.94296875","0.951953125"
"8150","0.9471777343750001","0.9408984375","0.9540625"
"8200","0.94763671875","0.941875","0.9525"
"8250","0.944326171875","0.939375","0.949375"
"8300","0.9471093749999999","0.9415625","0.9525"
"8350","0.9487695312500001","0.943125","0.95453125"
"8400","0.950087890625","0.9430859375","0.955"
"8450","0.948916015625","0.9428515625","0.9538671875"
"8500","0.9498046875","0.9430078125","0.955390625"
"8550","0.9480078125","0.9428125","0.9544140625"
"8600","0.9485644531249999","0.9426953125","0.953828125"
"8650","0.9502832031249999","0.944921875","0.954765625"
"8700","0.9515820312500001","0.9465625","0.9575"
"8750","0.9496875","0.9441015625","0.95640625"
"8800","0.950576171875","0.94453125","0.9564453125"
"8850","0.949716796875","0.943046875","0.9577734375"
"8900","0.9502441406250001","0.9448046875","0.9563671875"
"8950","0.9495605468749999","0.9429296875","0.956328125"
"9000","0.94837890625","0.944453125","0.9521875"
"9050","0.9495898437500001","0.9433203125","0.9558984375"
"9100","0.9496386718750001","0.9422265625","0.9563671875"
"9150","0.95150390625","0.946015625","0.9567578125"
"9200","0.9491015625","0.9426171875","0.9549609375"
"9250","0.950546875","0.9452734375","0.9569921875"
"9300","0.9486816406249999","0.9428515625","0.9551171875"
"9350","0.95033203125","0.943671875","0.9568359375"
"9400","0.949609375","0.945859375","0.953203125"
"9450","0.9530664062499999","0.9484375","0.9581640625"
"9500","0.95115234375","0.94609375","0.95765625"
"9550","0.95361328125","0.9480078125","0.960546875"
"9600","0.9533789062500001","0.949609375","0.95796875"
"9650","0.95216796875","0.9469140625","0.9573046875"
"9700","0.951435546875","0.9459375","0.956953125"
"9750","0.952158203125","0.9476171875","0.9566015625"
"9800","0.9536816406249999","0.947890625","0.9603125"
"9850","0.953564453125","0.94828125","0.958515625"
"9900","0.952119140625","0.9475","0.9573046875"
"9950","0.95140625","0.9475390625","0.9560546875"
"10000","0.95263671875","0.9471484375","0.9577734375"
"10050","0.953603515625","0.94703125","0.960078125"
"10100","0.95267578125","0.9473046875","0.9592578125"
"10150","0.95375","0.949609375","0.957734375"
"10200","0.95375","0.949375","0.958359375"
"10250","0.9534570312499999","0.9489453125","0.95703125"
"10300","0.9551269531250001","0.95109375","0.959921875"
"10350","0.953759765625","0.948671875","0.958125"
"10400","0.9546093750000001","0.9497265625","0.960703125"
"10450","0.955107421875","0.95015625","0.9607421875"
"10500","0.953740234375","0.948671875","0.95890625"
"10550","0.9562207031250001","0.95140625","0.9617578125"
"10600","0.951552734375","0.9462890625","0.957578125"
"10650","0.955322265625","0.9493359375","0.960859375"
"10700","0.954208984375","0.948125","0.95953125"
"10750","0.9551757812499999","0.9503125","0.960859375"
"10800","0.956826171875","0.952265625","0.9613671875"
"10850","0.955576171875","0.9496875","0.961875"
"10900","0.9537304687499999","0.94890625","0.9589453125"
"10950","0.955927734375","0.95203125","0.96"
"11000","0.9568359375000001","0.951640625","0.9616796875"
"11050","0.957294921875","0.9526171875","0.96203125"
"11100","0.9537890625","0.94875","0.9589453125"
"11150","0.95708984375","0.9507421875","0.963515625"
"11200","0.9586914062499999","0.953671875","0.9632421875"
"11250","0.957626953125","0.9520703125","0.96296875"
"11300","0.9588085937499999","0.95453125","0.9631640625"
"11350","0.95697265625","0.9525390625","0.9612109375"
"11400","0.957041015625","0.95140625","0.961640625"
"11450","0.95861328125","0.9535546875","0.9641796875"
"11500","0.95728515625","0.951875","0.9620703125"
"11550","0.9576074218749999","0.9529296875","0.9632421875"
"11600","0.954970703125","0.9484375","0.9604296875"
"11650","0.9590820312499999","0.9537890625","0.9644921875"
"11700","0.956982421875","0.95234375","0.9610546875"
"11750","0.958095703125","0.9536328125","0.9623046875"
"11800","0.957802734375","0.9528515625","0.9630859375"
"11850","0.9567187500000001","0.952578125","0.9612890625"
"11900","0.957236328125","0.9524609375","0.962421875"
"11950","0.9593652343750001","0.9544140625","0.9660546875"
"12000","0.9591308593750001","0.9548046875","0.963828125"
