"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"0","2.3054221073786416","2.3025145530700684","2.310177803039551","2.3022148344251843","2.2972307205200195","2.307358503341675"
"21","2.300809065500895","2.297825336456299","2.303239107131958","2.3039732774098716","2.3000118732452393","2.3095953464508057"
"48","2.3007103204727173","2.2969017028808594","2.304743528366089","2.304517772462633","2.3019533157348633","2.3072826862335205"
"59","2.303749402364095","2.299422264099121","2.3086700439453125","2.3019633293151855","2.2970662117004395","2.305583953857422"
"72","2.3018542925516763","2.2954156398773193","2.3064465522766113","2.301541354921129","2.297389030456543","2.3052849769592285"
"118","2.3047754367192588","2.301790475845337","2.3120343685150146","2.293971750471327","2.2890405654907227","2.300243854522705"
"148","2.3015870650609336","2.2981886863708496","2.303551197052002","2.284548388587104","2.266967296600342","2.298525333404541"
"150","2.3014349937438965","2.293595790863037","2.3069543838500977","2.2740739716423883","2.2491841316223145","2.296463966369629"
"153","2.301692485809326","2.2975268363952637","2.3071537017822266","2.289352205064562","2.2852730751037598","2.2944693565368652"
"154","2.303067167599996","2.298095464706421","2.308849811553955","2.289061360889011","2.2851953506469727","2.2989988327026367"
"163","2.3023070891698203","2.2971134185791016","2.3070268630981445","2.2920000553131104","2.267328977584839","2.3088784217834473"
"184","2.3017476399739585","2.2999467849731445","2.303638219833374","2.2777382267846003","2.2644407749176025","2.280907392501831"
"224","2.29744815826416","2.290709972381592","2.3043441772460938","2.2478882471720376","2.2121119499206543","2.287588119506836"
"249","2.29023007551829","2.2819831371307373","2.2992005348205566","2.239376597934299","2.201962471008301","2.3005969524383545"
"258","2.28579044342041","2.278289794921875","2.293135166168213","2.255312787161933","2.236042022705078","2.271899700164795"
"265","2.2815263271331787","2.2761902809143066","2.286754846572876","2.230077928966946","2.0720157623291016","2.3179445266723633"
"277","2.284852941830953","2.274102210998535","2.296168088912964","2.203037394417657","2.1269445419311523","2.2531628608703613"
"280","2.2730878591537476","2.25925612449646","2.2862002849578857","2.2176593674553766","2.1413276195526123","2.2580976486206055"
"291","2.265543222427368","2.2330422401428223","2.286997079849243","2.1955118974049888","2.1317176818847656","2.251688003540039"
"300","2.2599305311838784","2.2242162227630615","2.282593250274658","2.18416788842943","2.0752475261688232","2.246623992919922"
"304","2.265683134396871","2.2329256534576416","2.2849440574645996","2.212926573223538","2.0668985843658447","2.296093463897705"
"317","2.235029101371765","2.20278263092041","2.2626171112060547","2.1587509049309626","2.081183910369873","2.227217674255371"
"336","2.1883658170700073","2.162874221801758","2.24884033203125","2.1167465580834284","1.9667102098464966","2.2275867462158203"
"352","2.179104447364807","2.123509407043457","2.2141056060791016","2.160488579008314","2.0848896503448486","2.2131452560424805"
"367","2.1762560606002808","2.115719795227051","2.2373485565185547","2.1482563813527427","2.0998239517211914","2.208723306655884"
"388","2.1382796367009482","2.0274853706359863","2.2064208984375","2.1543291674719915","2.097376823425293","2.2332558631896973"
