"Step","Hostname: b5f852e3ffd4 - Train/Losses","Hostname: b5f852e3ffd4 - Train/Losses__MIN","Hostname: b5f852e3ffd4 - Train/Losses__MAX"
"1000","1.7118696598779586","1.6976398229599","1.720459290913173"
"2000","1.5271245316853597","1.5184317089262462","1.5381920507975988"
"3000","1.4745966782645574","1.4526949723561604","1.4932746092478435"
"4000","1.4388463061953347","1.415115509714399","1.4669971863428752"
"5000","1.435177903326731","1.4143524396987188","1.4462396303812664"
"6000","1.4218900090172177","1.3799904982248943","1.4604199330012004"
"7000","1.4174581311997911","1.3783518075942993","1.4446961482365925"
"8000","1.4023841865479","1.379763852982294","1.4264711028053647"
"9000","1.3983680993791612","1.3794314236867995","1.4166148673920405"
"10000","1.3945876700537545","1.3910464218684606","1.3971080496197654"
"11000","1.4084900731132144","1.3945206119900657","1.4226767335619246"
"12000","1.4010613835047163","1.3903176954814367","1.41592994758061"
"13000","1.419974338440668","1.3622389066786993","1.4645417474565052"
"14000","1.4125956845661953","1.4065423068546115","1.416275875908988"
"15000","1.4015257415317353","1.3680225894564675","1.426983770870027"
"16000","1.4138873115418449","1.402669072151184","1.4232257036935716"
"17000","1.381075694447472","1.3683493761789232","1.395729320389884"
"18000","1.3738382468147883","1.3465415579932076","1.4095395973750524"
"19000","1.380641184155903","1.3753247601645333","1.390588260832287"
"20000","1.3682578726420325","1.3384307566143216","1.3872438725971041"
"21000","1.399492869301448","1.3935260602406092","1.4071080571129209"
"22000","1.3752289499555317","1.3578860702968778","1.3906077657427107"
"23000","1.366405617623102","1.3364371742521013","1.3815524237496513"
"24000","1.3879767372494651","1.378537268865676","1.4064012141454787"
"25000","1.3902154839228071","1.366951511019752","1.4109793504079182"
"26000","1.3789173686315142","1.3732564960207259","1.3840715771629697"
"27000","1.3507289243122889","1.3265920990989322","1.3856662114461262"
"28000","1.3740258633144318","1.3462735982168288","1.404999886240278"
"29000","1.3591796822018092","1.3457658007031394","1.3766460986364455"
"30000","1.3449925070717221","1.3323474327723186","1.366804497582572"
"31000","1.3638987484432403","1.3347794044585455","1.3803267422176542"
"32000","1.3481365442276","1.335856522832598","1.3641286691029866"
"33000","1.3522297465612017","1.336259853272211","1.3688801186425346"
"34000","1.3546713590621948","1.3256340140388125","1.3715259688241142"
"35000","1.349128077900599","1.340486004239037","1.3599541300819034"
"36000","1.3328756888707478","1.3139689990452357","1.368376958937872"
"37000","1.3429558958326069","1.3238910323097592","1.356416072164263"
"38000","1.3796627218761142","1.3555598202205839","1.4119938157853626"
"39000","1.3259831931855943","1.3187703461874098","1.330980658531189"
"40000","1.3547303506306239","1.3427094277881442","1.3711237623578025"
"41000","1.3436573838430739","1.33102171761649","1.3591136705307734"
"42000","1.3530905019669304","1.3124243531908308","1.409484829221453"
"43000","1.3557282913298832","1.3479968933832078","1.3651837621416365"
"44000","1.3267631890281797","1.319914045787993","1.3393988382248652"
"45000","1.3203789449873424","1.3117194573084514","1.325018774895441"
"46000","1.3391058142223056","1.3254526115599132","1.3459940126964025"
"47000","1.3295960180343143","1.2985897120975314","1.3513672068005516"
"48000","1.3269846079841494","1.304183216322036","1.3425105356034779"
"49000","1.3206956045968192","1.2973103409721738","1.3376942645935785"
