"Step","sunny-sweep-5 - Train/Losses","sunny-sweep-5 - Train/Losses__MIN","sunny-sweep-5 - Train/Losses__MAX","sunny-sweep-4 - Train/Losses","sunny-sweep-4 - Train/Losses__MIN","sunny-sweep-4 - Train/Losses__MAX","morning-sweep-3 - Train/Losses","morning-sweep-3 - Train/Losses__MIN","morning-sweep-3 - Train/Losses__MAX"
"1000","1.4890986170087541","1.4890986170087541","1.4890986170087541","1.5272163663591658","1.5272163663591658","1.5272163663591658","1.5717982451121013","1.5717982451121013","1.5717982451121013"
"2000","1.458296571459089","1.458296571459089","1.458296571459089","1.4773962724776495","1.4773962724776495","1.4773962724776495","1.469924875668117","1.469924875668117","1.469924875668117"
"3000","1.4762385118575323","1.4762385118575323","1.4762385118575323","1.4788105487823486","1.4788105487823486","1.4788105487823486","1.4846213318052746","1.4846213318052746","1.4846213318052746"
"4000","1.3949330193655831","1.3949330193655831","1.3949330193655831","1.4363352911812919","1.4363352911812919","1.4363352911812919","1.4310712303434099","1.4310712303434099","1.4310712303434099"
"5000","1.4194284223374867","1.4194284223374867","1.4194284223374867","1.4359338964734758","1.4359338964734758","1.4359338964734758","1.3975071679978144","1.3975071679978144","1.3975071679978144"
"6000","1.409224476133074","1.409224476133074","1.409224476133074","1.434299798238845","1.434299798238845","1.434299798238845","1.4295239278248377","1.4295239278248377","1.4295239278248377"
"7000","1.419481322878883","1.419481322878883","1.419481322878883","1.4205797910690308","1.4205797910690308","1.4205797910690308","1.4254283167067028","1.4254283167067028","1.4254283167067028"
"8000","1.4145691792170207","1.4145691792170207","1.4145691792170207","1.412330048424857","1.412330048424857","1.412330048424857","1.3936343817483812","1.3936343817483812","1.3936343817483812"
"9000","1.411266150928679","1.411266150928679","1.411266150928679","1.46304532459804","1.46304532459804","1.46304532459804","1.4679396549860637","1.4679396549860637","1.4679396549860637"
"10000","1.3432696092696417","1.3432696092696417","1.3432696092696417","1.395963226045881","1.395963226045881","1.395963226045881","1.36971610500699","1.36971610500699","1.36971610500699"
"11000","1.4446556341080439","1.4446556341080439","1.4446556341080439","1.432262897491455","1.432262897491455","1.432262897491455","1.3481480791455223","1.3481480791455223","1.3481480791455223"
"12000","1.3938439460027785","1.3938439460027785","1.3938439460027785","1.3803907973425729","1.3803907973425729","1.3803907973425729","1.350234758286249","1.350234758286249","1.350234758286249"
"13000","1.3806962739853632","1.3806962739853632","1.3806962739853632","1.3993946200325376","1.3993946200325376","1.3993946200325376","1.3926153920945668","1.3926153920945668","1.3926153920945668"
"14000","1.3731079555693126","1.3731079555693126","1.3731079555693126","1.3594361600421725","1.3594361600421725","1.3594361600421725","1.3947017930802845","1.3947017930802845","1.3947017930802845"
"15000","1.3966905275980632","1.3966905275980632","1.3966905275980632","1.3658504769915627","1.3658504769915627","1.3658504769915627","1.3678358282361711","1.3678358282361711","1.3678358282361711"
"16000","1.3684427851722354","1.3684427851722354","1.3684427851722354","1.3391952003751482","1.3391952003751482","1.3391952003751482","1.3670914967854817","1.3670914967854817","1.3670914967854817"
"17000","1.3841304041090465","1.3841304041090465","1.3841304041090465","1.2931736934752691","1.2931736934752691","1.2931736934752691","1.3577227024804979","1.3577227024804979","1.3577227024804979"
"18000","1.3425558691933042","1.3425558691933042","1.3425558691933042","1.329199580919175","1.329199580919175","1.329199580919175","1.3429171641667683","1.3429171641667683","1.3429171641667683"
"19000","1.3306965544110252","1.3306965544110252","1.3306965544110252","1.3632990065075101","1.3632990065075101","1.3632990065075101","1.3937167042777652","1.3937167042777652","1.3937167042777652"
"20000","1.348120683715457","1.348120683715457","1.348120683715457","1.311113408633641","1.311113408633641","1.311113408633641","1.3196131388346355","1.3196131388346355","1.3196131388346355"
