"Step","skilled-sweep-3 - Train/Accuracies final ","skilled-sweep-3 - Train/Accuracies final __MIN","skilled-sweep-3 - Train/Accuracies final __MAX","playful-sweep-2 - Train/Accuracies final ","playful-sweep-2 - Train/Accuracies final __MIN","playful-sweep-2 - Train/Accuracies final __MAX","prime-sweep-1 - Train/Accuracies final ","prime-sweep-1 - Train/Accuracies final __MIN","prime-sweep-1 - Train/Accuracies final __MAX"
"48","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"59","0.5625","0.5625","0.5625","0.578125","0.578125","0.578125","0.578125","0.578125","0.578125"
"72","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375"
"118","0.578125","0.578125","0.578125","0.578125","0.578125","0.578125","0.609375","0.609375","0.609375"
"148","0.5","0.5","0.5","0.515625","0.515625","0.515625","0.5","0.5","0.5"
"150","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.578125","0.578125","0.578125"
"153","0.625","0.625","0.625","0.59375","0.59375","0.59375","0.625","0.625","0.625"
"154","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625","0.5","0.5","0.5"
"163","0.515625","0.515625","0.515625","0.421875","0.421875","0.421875","0.453125","0.453125","0.453125"
"184","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375"
"224","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625","0.53125","0.53125","0.53125"
"249","0.609375","0.609375","0.609375","0.609375","0.609375","0.609375","0.625","0.625","0.625"
"258","0.515625","0.515625","0.515625","0.453125","0.453125","0.453125","0.453125","0.453125","0.453125"
"265","0.484375","0.484375","0.484375","0.53125","0.53125","0.53125","0.484375","0.484375","0.484375"
"277","0.4375","0.4375","0.4375","0.5","0.5","0.5","0.46875","0.46875","0.46875"
"280","0.5","0.5","0.5","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"291","0.578125","0.578125","0.578125","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"300","0.375","0.375","0.375","0.359375","0.359375","0.359375","0.375","0.375","0.375"
"304","0.640625","0.640625","0.640625","0.5","0.5","0.5","0.46875","0.46875","0.46875"
"317","0.625","0.625","0.625","0.484375","0.484375","0.484375","0.5","0.5","0.5"
"336","0.609375","0.609375","0.609375","0.59375","0.59375","0.59375","0.609375","0.609375","0.609375"
"352","0.53125","0.53125","0.53125","0.640625","0.640625","0.640625","0.59375","0.59375","0.59375"
"388","0.46875","0.46875","0.46875","0.453125","0.453125","0.453125","0.421875","0.421875","0.421875"
"424","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.484375","0.484375","0.484375"
"429","0.40625","0.40625","0.40625","0.4375","0.4375","0.4375","0.484375","0.484375","0.484375"
"476","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875","0.5","0.5","0.5"
"514","0.59375","0.59375","0.59375","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"533","0.484375","0.484375","0.484375","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"585","0.421875","0.421875","0.421875","0.625","0.625","0.625","0.46875","0.46875","0.46875"
"612","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"645","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875"
"651","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"685","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.453125","0.453125","0.453125"
"751","0.46875","0.46875","0.46875","0.5","0.5","0.5","0.5","0.5","0.5"
"762","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.4375","0.4375","0.4375"
"788","0.5","0.5","0.5","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"801","0.5","0.5","0.5","0.484375","0.484375","0.484375","0.46875","0.46875","0.46875"
"806","0.421875","0.421875","0.421875","0.390625","0.390625","0.390625","0.40625","0.40625","0.40625"
"812","0.4375","0.4375","0.4375","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875"
"839","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875"
"884","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"921","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875"
"947","0.53125","0.53125","0.53125","0.5","0.5","0.5","0.4375","0.4375","0.4375"
"961","0.5","0.5","0.5","0.5625","0.5625","0.5625","0.5","0.5","0.5"
"964","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875"
"975","0.46875","0.46875","0.46875","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"990","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"996","0.5","0.5","0.5","0.5625","0.5625","0.5625","0.609375","0.609375","0.609375"
"997","0.578125","0.578125","0.578125","0.46875","0.46875","0.46875","0.484375","0.484375","0.484375"
"1020","0.53125","0.53125","0.53125","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"1049","0.5","0.5","0.5","0.421875","0.421875","0.421875","0.421875","0.421875","0.421875"
"1066","0.484375","0.484375","0.484375","0.46875","0.46875","0.46875","0.453125","0.453125","0.453125"
"1074","0.515625","0.515625","0.515625","0.484375","0.484375","0.484375","0.546875","0.546875","0.546875"
"1103","0.453125","0.453125","0.453125","0.375","0.375","0.375","0.453125","0.453125","0.453125"
"1112","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.5625","0.5625","0.5625"
"1128","0.5625","0.5625","0.5625","0.453125","0.453125","0.453125","0.546875","0.546875","0.546875"
"1130","0.5","0.5","0.5","0.453125","0.453125","0.453125","0.484375","0.484375","0.484375"
"1136","0.421875","0.421875","0.421875","0.4375","0.4375","0.4375","0.421875","0.421875","0.421875"
"1164","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.578125","0.578125","0.578125"
"1167","0.390625","0.390625","0.390625","0.515625","0.515625","0.515625","0.40625","0.40625","0.40625"
"1182","0.546875","0.546875","0.546875","0.546875","0.546875","0.546875","0.59375","0.59375","0.59375"
"1216","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625"
"1232","0.5","0.5","0.5","0.546875","0.546875","0.546875","0.453125","0.453125","0.453125"
"1238","0.4375","0.4375","0.4375","0.546875","0.546875","0.546875","0.53125","0.53125","0.53125"
"1252","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375","0.578125","0.578125","0.578125"
"1268","0.5","0.5","0.5","0.484375","0.484375","0.484375","0.546875","0.546875","0.546875"
"1271","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"1301","0.546875","0.546875","0.546875","0.484375","0.484375","0.484375","0.53125","0.53125","0.53125"
"1351","0.46875","0.46875","0.46875","0.609375","0.609375","0.609375","0.484375","0.484375","0.484375"
"1366","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.46875","0.46875","0.46875"
"1403","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"1408","0.546875","0.546875","0.546875","0.5","0.5","0.5","0.4375","0.4375","0.4375"
"1428","0.390625","0.390625","0.390625","0.390625","0.390625","0.390625","0.421875","0.421875","0.421875"
"1446","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375"
"1447","0.4375","0.4375","0.4375","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875"
"1448","0.53125","0.53125","0.53125","0.5","0.5","0.5","0.453125","0.453125","0.453125"
"1470","0.5625","0.5625","0.5625","0.484375","0.484375","0.484375","0.5625","0.5625","0.5625"
"1501","0.515625","0.515625","0.515625","0.5625","0.5625","0.5625","0.515625","0.515625","0.515625"
"1507","0.453125","0.453125","0.453125","0.484375","0.484375","0.484375","0.4375","0.4375","0.4375"
"1531","0.484375","0.484375","0.484375","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375"
"1576","0.53125","0.53125","0.53125","0.421875","0.421875","0.421875","0.453125","0.453125","0.453125"
"1598","0.40625","0.40625","0.40625","0.390625","0.390625","0.390625","0.375","0.375","0.375"
"1686","0.609375","0.609375","0.609375","0.546875","0.546875","0.546875","0.546875","0.546875","0.546875"
"1702","0.546875","0.546875","0.546875","0.515625","0.515625","0.515625","0.5625","0.5625","0.5625"
"1718","0.6875","0.6875","0.6875","0.703125","0.703125","0.703125","0.703125","0.703125","0.703125"
"1741","0.5625","0.5625","0.5625","0.625","0.625","0.625","0.515625","0.515625","0.515625"
"1760","0.46875","0.46875","0.46875","0.515625","0.515625","0.515625","0.5","0.5","0.5"
"1773","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625","0.5","0.5","0.5"
"1782","0.40625","0.40625","0.40625","0.578125","0.578125","0.578125","0.53125","0.53125","0.53125"
"1792","0.390625","0.390625","0.390625","0.421875","0.421875","0.421875","0.40625","0.40625","0.40625"
"1796","0.578125","0.578125","0.578125","0.578125","0.578125","0.578125","0.59375","0.59375","0.59375"
"1814","0.578125","0.578125","0.578125","0.578125","0.578125","0.578125","0.5625","0.5625","0.5625"
"1821","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875"
"1830","0.59375","0.59375","0.59375","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"1832","0.5625","0.5625","0.5625","0.46875","0.46875","0.46875","0.484375","0.484375","0.484375"
"1833","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.546875","0.546875","0.546875"
"1846","0.5","0.5","0.5","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"1897","0.515625","0.515625","0.515625","0.578125","0.578125","0.578125","0.515625","0.515625","0.515625"
"1933","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875"
"1944","0.5625","0.5625","0.5625","0.453125","0.453125","0.453125","0.484375","0.484375","0.484375"
"1956","0.515625","0.515625","0.515625","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375"
"1985","0.515625","0.515625","0.515625","0.5625","0.5625","0.5625","0.421875","0.421875","0.421875"
