"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"48","0.11875","0.078125","0.1875","0.121875","0.0625","0.171875"
"59","0.10625","0.046875","0.140625","0.109375","0.078125","0.171875"
"72","0.10625","0.078125","0.15625","0.115625","0.078125","0.15625"
"118","0.096875","0","0.140625","0.09375","0.03125","0.140625"
"148","0.0875","0.015625","0.140625","0.09375","0.046875","0.125"
"150","0.071875","0.015625","0.109375","0.1","0.0625","0.125"
"153","0.1125","0.03125","0.1875","0.125","0.046875","0.265625"
"154","0.1","0.078125","0.140625","0.1125","0.046875","0.171875"
"163","0.115625","0.046875","0.203125","0.125","0.0625","0.203125"
"184","0.115625","0.0625","0.203125","0.125","0.078125","0.1875"
"224","0.125","0.0625","0.265625","0.3","0.171875","0.5"
"249","0.1625","0.078125","0.3125","0.303125","0.078125","0.59375"
"258","0.078125","0.015625","0.125","0.175","0.109375","0.265625"
"265","0.1875","0.0625","0.296875","0.2125","0.109375","0.3125"
"277","0.26875","0.078125","0.328125","0.128125","0.0625","0.234375"
"280","0.35625","0.140625","0.46875","0.2","0.109375","0.296875"
"291","0.2875","0.09375","0.53125","0.25","0.046875","0.5625"
"300","0.21875","0.09375","0.390625","0.19375","0.046875","0.484375"
"304","0.096875","0.0625","0.203125","0.378125","0.0625","0.671875"
"317","0.10625","0.09375","0.125","0.16875","0.0625","0.265625"
"336","0.26875","0.078125","0.578125","0.171875","0.09375","0.265625"
"352","0.384375","0.15625","0.53125","0.309375","0.109375","0.640625"
"388","0.33125","0.125","0.609375","0.253125","0.046875","0.546875"
"424","0.21875","0.140625","0.453125","0.165625","0.09375","0.265625"
"429","0.215625","0.125","0.328125","0.29375","0.078125","0.625"
"476","0.175","0.0625","0.46875","0.190625","0.078125","0.5625"
"514","0.275","0.125","0.53125","0.221875","0.0625","0.53125"
"533","0.1875","0.03125","0.640625","0.209375","0.046875","0.421875"
"585","0.2","0.109375","0.34375","0.23125","0.0625","0.578125"
"612","0.209375","0.0625","0.28125","0.24375","0.125","0.484375"
"645","0.19375","0.109375","0.25","0.2625","0.046875","0.625"
"651","0.08125","0.0625","0.109375","0.225","0.09375","0.34375"
"685","0.2875","0.15625","0.5625","0.296875","0.078125","0.625"
"751","0.16875","0.078125","0.234375","0.28125","0.0625","0.53125"
"762","0.1","0.046875","0.125","0.16875","0.078125","0.265625"
"788","0.23125","0.078125","0.421875","0.20625","0.03125","0.59375"
"801","0.178125","0.140625","0.203125","0.165625","0.09375","0.265625"
"806","0.134375","0.0625","0.296875","0.409375","0.140625","0.703125"
"812","0.128125","0.0625","0.25","0.09375","0.046875","0.140625"
"839","0.31875","0.21875","0.46875","0.225","0.140625","0.34375"
"884","0.109375","0.078125","0.21875","0.153125","0.09375","0.265625"
"921","0.3875","0.15625","0.6875","0.159375","0.09375","0.234375"
