"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"48","2.3026233673095704","2.2984485626220703","2.3057608604431152","2.303479528427124","2.3005495071411133","2.308077335357666"
"59","2.3027143478393555","2.3004932403564453","2.30942964553833","2.3064718723297117","2.299856662750244","2.31430983543396"
"72","2.3034972667694094","2.299617052078247","2.309680700302124","2.302494478225708","2.2982840538024902","2.307302474975586"
"118","2.304622220993042","2.2971341609954834","2.3140201568603516","2.3048208713531495","2.303046226501465","2.3055920600891113"
"148","2.302551746368408","2.3004326820373535","2.3058433532714844","2.3053979873657227","2.299591064453125","2.310986280441284"
"150","2.305249738693237","2.300143241882324","2.3103690147399902","2.3044660091400146","2.302095651626587","2.3106813430786133"
"153","2.3017440319061278","2.298769950866699","2.3043899536132812","2.298548936843872","2.293048143386841","2.305185317993164"
"154","2.3035206317901613","2.3011019229888916","2.3065874576568604","2.3022601127624513","2.29573917388916","2.304812431335449"
"163","2.3022884368896483","2.297516345977783","2.3056933879852295","2.2993529796600343","2.292558193206787","2.3068575859069824"
"184","2.3017594814300537","2.2984161376953125","2.3051047325134277","2.299275255203247","2.2886176109313965","2.3056650161743164"
"224","2.30078182220459","2.2918105125427246","2.3059945106506348","2.256044054031372","2.1942074298858643","2.287964105606079"
"249","2.29375319480896","2.2795543670654297","2.3068933486938477","2.2105050086975098","2.036435604095459","2.3088183403015137"
"258","2.3020888328552247","2.293546676635742","2.310195207595825","2.27290358543396","2.21445894241333","2.311540365219116"
"265","2.2928487777709963","2.2771310806274414","2.3041772842407227","2.258022117614746","2.216360569000244","2.3014750480651855"
"277","2.287509632110596","2.277189016342163","2.2953217029571533","2.3048758506774902","2.248199939727783","2.3895750045776367"
"280","2.2676980018615724","2.237760066986084","2.299846887588501","2.270325708389282","2.2115840911865234","2.314664363861084"
"291","2.264083194732666","2.20381498336792","2.3095054626464844","2.2449569702148438","2.0592596530914307","2.3683626651763916"
"300","2.2852451324462892","2.2560644149780273","2.310035228729248","2.2640758514404298","2.104475975036621","2.3481431007385254"
"304","2.302336406707764","2.2839303016662598","2.3129611015319824","2.123746156692505","1.9437923431396484","2.38537335395813"
"317","2.298374557495117","2.290217876434326","2.3060855865478516","2.2789113998413084","2.2114157676696777","2.384364604949951"
"336","2.265746021270752","2.169145107269287","2.3432912826538086","2.257100963592529","2.188514232635498","2.3022289276123047"
"352","2.179407835006714","2.123901844024658","2.2812247276306152","2.1670230865478515","1.9373304843902588","2.315767526626587"
"388","2.18684663772583","1.9890313148498535","2.3598403930664062","2.1651009798049925","1.8366516828536987","2.400010108947754"
"424","2.236647844314575","2.04127836227417","2.297956943511963","2.257839488983154","2.1378254890441895","2.3353281021118164"
"429","2.237378692626953","2.173607349395752","2.3135581016540527","2.169554615020752","1.8661723136901855","2.3586153984069824"
"476","2.2790534019470217","2.072380542755127","2.370504856109619","2.2260387182235717","1.7713993787765503","2.364412784576416"
"514","2.238004732131958","2.0951781272888184","2.3274452686309814","2.1973894119262694","1.8169260025024414","2.357329845428467"
"533","2.30946044921875","2.033386707305908","2.4359121322631836","2.2321539878845216","2.010786533355713","2.389195203781128"
"585","2.2526002407073973","2.1333818435668945","2.3427164554595947","2.1250971794128417","1.4943664073944092","2.428478479385376"
