"Step","postactivation_production: mlp - Train/Accuracy","postactivation_production: mlp - Train/Accuracy__MIN","postactivation_production: mlp - Train/Accuracy__MAX","postactivation_production: kan - Train/Accuracy","postactivation_production: kan - Train/Accuracy__MIN","postactivation_production: kan - Train/Accuracy__MAX"
"0","","","","0.15625","0.15625","0.15625"
"48","0.078125","0.078125","0.078125","0.078125","0.078125","0.078125"
"59","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625"
"72","0.140625","0.140625","0.140625","0.140625","0.140625","0.140625"
"118","0.053125","0.015625","0.0625","0.0625","0.0625","0.0625"
"148","0.04375","0.03125","0.046875","0.046875","0.046875","0.046875"
"150","0.3104166666666667","0.203125","0.34375","0.203125","0.203125","0.203125"
"153","0.42083333333333334","0.109375","0.453125","0.109375","0.109375","0.109375"
"154","0.10104166666666667","0.09375","0.125","0.125","0.125","0.125"
"163","0.2520833333333333","0.25","0.28125","0.09375","0.09375","0.09375"
"184","0.53125","0.53125","0.53125","0.1640625","0.109375","0.546875"
"224","0.0625","0.0625","0.0625","0.078125","0.0625","0.125"
"249","0.3125","0.3125","0.3125","0.28125","0.0625","0.3125"
"258","0.078125","0.078125","0.078125","0.078125","0.078125","0.078125"
"265","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875"
"277","0.296875","0.296875","0.296875","0.296875","0.296875","0.296875"
"280","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875"
"291","0.109375","0.109375","0.109375","0.109375","0.109375","0.109375"
"300","0.296875","0.296875","0.296875","0.296875","0.296875","0.296875"
"304","0.078125","0.078125","0.078125","0.078125","0.078125","0.078125"
"317","0.109375","0.109375","0.109375","0.109375","0.109375","0.109375"
"336","0.578125","0.578125","0.578125","0.578125","0.578125","0.578125"
"352","0.328125","0.328125","0.328125","0.328125","0.328125","0.328125"
"388","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875"
"424","0.15","0.140625","0.15625","0.15625","0.15625","0.15625"
"429","0.16145833333333334","0.140625","0.171875","0.140625","0.140625","0.140625"
"476","0.46458333333333335","0.4375","0.46875","0.46875","0.46875","0.46875"
"514","0.5270833333333333","0.46875","0.59375","0.46875","0.46875","0.46875"
"533","0.125","0.109375","0.140625","0.125","0.125","0.125"
"585","0.32708333333333334","0.296875","0.359375","0.34375","0.34375","0.34375"
"612","0.15625","0.140625","0.171875","0.140625","0.140625","0.140625"
"645","0.13333333333333333","0.078125","0.1875","0.125","0.125","0.125"
"651","0.0875","0.046875","0.125","0.078125","0.078125","0.078125"
"685","0.5447916666666667","0.53125","0.578125","0.5625","0.5625","0.5625"
"751","0.22291666666666668","0.203125","0.234375","0.234375","0.234375","0.234375"
"762","0.084375","0.015625","0.125","0.046875","0.046875","0.046875"
"788","0.4322916666666667","0.421875","0.453125","0.421875","0.421875","0.421875"
"801","0.115625","0.078125","0.1875","0.140625","0.140625","0.140625"
"806","0.11145833333333334","0.09375","0.140625","0.078125","0.078125","0.078125"
"812","0.26145833333333335","0.21875","0.3125","0.25","0.25","0.25"
"839","0.3333333333333333","0.3125","0.359375","0.328125","0.328125","0.328125"
"884","0.12395833333333334","0.09375","0.1875","0.09375","0.09375","0.09375"
"921","0.13125","0.109375","0.15625","0.197265625","0.15625","0.203125"
"947","0.40625","0.40625","0.40625","0.41015625","0.40625","0.4375"
"961","0.259375","0.203125","0.28125","0.205078125","0.203125","0.21875"
"964","0.45625","0.4375","0.484375","0.46875","0.46875","0.46875"
