"Step","postactivation_production: mlp - Train/Losses","postactivation_production: mlp - Train/Losses__MIN","postactivation_production: mlp - Train/Losses__MAX","postactivation_production: kan - Train/Losses","postactivation_production: kan - Train/Losses__MIN","postactivation_production: kan - Train/Losses__MAX"
"0","","","","2.303224563598633","2.303224563598633","2.303224563598633"
"48","2.31287047068278","2.312734603881836","2.3130223751068115","2.313187003135681","2.3131206035614014","2.3132376670837402"
"59","2.301552979151408","2.3015406131744385","2.301563024520874","2.301494061946869","2.30149245262146","2.3014955520629883"
"72","2.304052782058716","2.304006338119507","2.3041019439697266","2.3041405081748962","2.304124355316162","2.3041515350341797"
"118","2.304835812250773","2.303217887878418","2.3066539764404297","2.3028194308280945","2.3027632236480713","2.3029136657714844"
"148","2.3127873738606772","2.307461738586426","2.3205344676971436","2.305847555398941","2.305757522583008","2.306039333343506"
"150","2.2645615418752034","2.238661766052246","2.2890114784240723","2.2983269691467285","2.29634428024292","2.2992944717407227"
"153","2.221869421005249","2.148744821548462","2.286832809448242","2.3055075109004974","2.300720691680908","2.307732582092285"
"154","2.3051677703857423","2.302823543548584","2.309262990951538","2.302473247051239","2.302443504333496","2.302544116973877"
"163","2.2416372299194336","2.18947696685791","2.2914927005767822","2.3050762712955475","2.299192428588867","2.3076817989349365"
"184","2.0929513613382977","1.9893786907196045","2.232450246810913","2.2951974272727966","2.271127700805664","2.3060684204101562"
"224","2.355512348810832","2.3216140270233154","2.3734188079833984","2.315207540988922","2.3062853813171387","2.336003541946411"
"249","2.168421681722005","2.1447596549987793","2.213249683380127","2.265796184539795","2.218519687652588","2.2969024181365967"
"258","2.3295416037241616","2.3183863162994385","2.3335578441619873","2.3157652616500854","2.302111864089966","2.3397598266601562"
"265","2.25941793123881","2.2559375762939453","2.268122911453247","2.281177669763565","2.2703733444213867","2.2916717529296875"
"277","2.1876598676045735","2.172525405883789","2.2140259742736816","2.2524932622909546","2.2126591205596924","2.2874503135681152"
"280","1.9191478172938028","1.877586007118225","2.0050768852233887","2.1384535133838654","2.016818046569824","2.2499642372131348"
"291","2.3226944287618","2.308629035949707","2.33066463470459","2.31260347366333","2.3006858825683594","2.336033821105957"
"300","2.221135965983073","2.219377040863037","2.22287654876709","2.231755167245865","2.2047438621520996","2.267385482788086"
"304","2.3242936452229817","2.320263624191284","2.3280272483825684","2.3200417160987854","2.3039662837982178","2.337761402130127"
"317","2.2960606098175047","2.2937583923339844","2.301025390625","2.3072696030139923","2.295510768890381","2.316767454147339"
"336","1.6636546532313028","1.5493371486663818","1.7961573600769043","2.040259063243866","1.9947903156280518","2.1304497718811035"
"352","2.069739739100138","2.04219388961792","2.0995774269104004","2.1790335178375244","2.1678929328918457","2.204059600830078"
"388","2.2734943866729735","2.268902540206909","2.2762889862060547","2.2691997289657593","2.2686400413513184","2.269639492034912"
"424","2.285724226633708","2.284996747970581","2.286830425262451","2.2883271872997284","2.287909984588623","2.288728713989258"
"429","2.296598211924235","2.293996810913086","2.298196792602539","2.291825234889984","2.2913079261779785","2.292480945587158"
"476","1.7899441560109457","1.6817131042480469","1.954637050628662","2.0730728209018707","2.0699827671051025","2.07796049118042"
"514","1.8245652357737223","1.7027199268341064","2.088756799697876","2.1159020960330963","2.112114906311035","2.1184005737304688"
"533","2.372702121734619","2.3085274696350098","2.4937455654144287","2.3093203604221344","2.307816982269287","2.311051368713379"
"585","1.8706751108169555","1.7415868043899536","2.2083613872528076","2.1271559596061707","2.12205171585083","2.1320981979370117"
"612","2.2831249554951984","2.280305862426758","2.286069631576538","2.3084315061569214","2.3074498176574707","2.3094005584716797"
"645","2.2955874601999917","2.2867538928985596","2.3045127391815186","2.2962453961372375","2.295644521713257","2.2971067428588867"
"651","2.3035719871520994","2.298081159591675","2.3116512298583984","2.334118276834488","2.3332366943359375","2.3354544639587402"
"685","1.3389500617980956","1.2171378135681152","1.4846503734588623","2.053630441427231","2.0468902587890625","2.056523561477661"
"751","2.2283108552296955","2.169651508331299","2.282261610031128","2.2242890298366547","2.2237119674682617","2.224769115447998"
"762","2.3078330993652343","2.301551342010498","2.314120054244995","2.3737498223781586","2.3686137199401855","2.377002477645874"
"788","1.3974939028422038","1.287029504776001","1.4951577186584473","2.044349491596222","2.0049304962158203","2.0673844814300537"
"801","2.2938437461853027","2.291245460510254","2.296196937561035","2.3142977952957153","2.307732582092285","2.3275578022003174"
"806","2.303968318303426","2.2997870445251465","2.308507204055786","2.3424122631549835","2.3366823196411133","2.3489830493927"
"812","1.94116423924764","1.8892924785614014","2.0401251316070557","2.208244115114212","2.20664381980896","2.2115702629089355"
"839","1.6412841002146403","1.5953383445739746","1.702515959739685","2.173277199268341","2.169788360595703","2.1792500019073486"
"884","2.294190041224162","2.2878952026367188","2.2987618446350098","2.3439172506332397","2.342773675918579","2.346395254135132"
"921","2.2279004096984862","2.2147531509399414","2.249110698699951","2.2292450666427612","2.225583076477051","2.2378005981445312"
"947","1.5518733024597169","1.5127754211425781","1.5828273296356201","2.144473910331726","2.1283175945281982","2.15069580078125"
"961","1.9200338125228882","1.8972352743148804","1.958411693572998","2.2432547509670258","2.2323057651519775","2.249904155731201"
