"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"0","[[0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238,0.10472470238095238],[0.10546875,0.10546875,0.10546875,0.10546875,0.10546875,0.10546875,0.10546875,0.10546875,0.10546875,0.10546875]]","","","NaN","NaN","NaN"
"1","0.03125","0.03125","0.03125","","",""
"2","0.0625","0.0625","0.0625","","",""
"3","0.109375","0.109375","0.109375","0.0625","0.0625","0.0625"
"4","0.09375","0.09375","0.09375","0","0","0"
"5","0.140625","0.140625","0.140625","0.125","0.125","0.125"
"6","0.09375","0.09375","0.09375","","",""
"7","0.0625","0.0625","0.0625","0.109375","0.109375","0.109375"
"8","0.078125","0.078125","0.078125","","",""
"9","0.15625","0.15625","0.15625","0","0","0"
"10","0.078125","0.078125","0.078125","","",""
"11","0.15625","0.15625","0.15625","0.125","0.125","0.125"
"12","0.203125","0.203125","0.203125","","",""
"13","0.15625","0.15625","0.15625","","",""
"14","0.109375","0.109375","0.109375","0.109375","0.109375","0.109375"
"15","0.078125","0.078125","0.078125","","",""
"16","0.109375","0.109375","0.109375","0.046875","0.015625","0.125"
"17","0.125","0.125","0.125","0.0703125","0.046875","0.09375"
"18","0.203125","0.203125","0.203125","0","0","0"
"19","0.078125","0.078125","0.078125","0.09375","0.09375","0.09375"
"20","0.046875","0.046875","0.046875","","",""
"21","0.1015625","0.078125","0.125","0.0625","0","0.09375"
"22","0.078125","0.078125","0.078125","","",""
"23","0.140625","0.140625","0.140625","","",""
"24","0.125","0.125","0.125","","",""
"25","0.109375","0.109375","0.109375","0.08203125","0.046875","0.15625"
"26","0.109375","0.109375","0.109375","0.0625","0.0625","0.0625"
"27","0.078125","0.078125","0.078125","0.078125","0.078125","0.078125"
"28","0.140625","0.140625","0.140625","","",""
"29","0.078125","0.078125","0.078125","","",""
"30","0.078125","0.078125","0.078125","","",""
"31","0.125","0.125","0.125","","",""
"32","0.03125","0.03125","0.03125","","",""
"33","0.078125","0.078125","0.078125","0.1171875","0.109375","0.125"
"34","0.125","0.125","0.125","0.125","0.125","0.125"
"35","0.09375","0.09375","0.09375","0.0625","0","0.125"
"36","0.0625","0.0625","0.0625","0.046875","0.046875","0.046875"
"37","0.109375","0.109375","0.109375","","",""
"38","0.09375","0.09375","0.09375","","",""
"39","0.109375","0.109375","0.109375","0.203125","0.203125","0.203125"
"40","0.078125","0.078125","0.078125","0.09375","0.09375","0.09375"
"41","0.09375","0.09375","0.09375","","",""
"42","0.078125","0.078125","0.078125","0.109375","0.109375","0.109375"
"43","0.078125","0.078125","0.078125","","",""
"44","0.140625","0.140625","0.140625","0.125","0.125","0.125"
"45","0.140625","0.140625","0.140625","0.15625","0.15625","0.15625"
"46","0.046875","0.046875","0.046875","0.09375","0.09375","0.09375"
"47","0.03125","0.03125","0.03125","","",""
"48","0.0390625","0","0.078125","0.09765625","0","0.140625"
"49","0.078125","0.078125","0.078125","","",""
"50","0.125","0.125","0.125","0.0625","0.0625","0.0625"
"51","0.171875","0.171875","0.171875","0.078125","0.078125","0.078125"
"52","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375"
"53","0.09375","0.09375","0.09375","0.109375","0.109375","0.109375"
"54","0.09375","0.09375","0.09375","","",""
"55","0.03125","0.03125","0.03125","","",""
"56","0.109375","0.109375","0.109375","0.125","0.125","0.125"
"57","0.09375","0.09375","0.09375","0.125","0.125","0.125"
"58","0.09375","0.078125","0.109375","0.125","0.015625","0.1875"
"59","0.125","0.109375","0.140625","0.078125","0.0625","0.125"
"60","0.125","0.125","0.125","","",""
"61","0.140625","0.140625","0.140625","","",""
"62","0.078125","0.078125","0.078125","0.109375","0.109375","0.109375"
"63","0.15625","0.15625","0.15625","0.16015625","0.0625","0.234375"
"64","0.09375","0.09375","0.09375","","",""
"65","0.15625","0.15625","0.15625","","",""
"66","0.046875","0.046875","0.046875","0.109375","0.0625","0.15625"
"67","0.078125","0.078125","0.078125","","",""
"68","0.078125","0.078125","0.078125","0.140625","0.140625","0.140625"
"69","0.09375","0.09375","0.09375","","",""
"70","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375"
