"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"0","2.3026476190203713","2.3024134068262008","2.3028818312145414","2.301259432520185","2.3006324086870467","2.3027712049938382"
"1","2.305616855621338","2.305616855621338","2.305616855621338","","",""
"2","2.302737236022949","2.302737236022949","2.302737236022949","","",""
"3","2.3065764904022217","2.3065764904022217","2.3065764904022217","2.300025463104248","2.300025463104248","2.300025463104248"
"4","2.3042068481445312","2.3042068481445312","2.3042068481445312","2.2927334308624268","2.2927334308624268","2.2927334308624268"
"5","2.3041224479675293","2.3041224479675293","2.3041224479675293","2.305091381072998","2.305091381072998","2.305091381072998"
"6","2.300748348236084","2.300748348236084","2.300748348236084","","",""
"7","2.3027167320251465","2.3027167320251465","2.3027167320251465","2.2970130443573","2.2970130443573","2.2970130443573"
"8","2.3046939373016357","2.3046939373016357","2.3046939373016357","","",""
"9","2.3062195777893066","2.3062195777893066","2.3062195777893066","2.293935775756836","2.293935775756836","2.293935775756836"
"10","2.303550958633423","2.303550958633423","2.303550958633423","","",""
"11","2.3014559745788574","2.3014559745788574","2.3014559745788574","2.2996957302093506","2.2996957302093506","2.2996957302093506"
"12","2.30081844329834","2.30081844329834","2.30081844329834","","",""
"13","2.30330491065979","2.30330491065979","2.30330491065979","","",""
"14","2.3079569339752197","2.3079569339752197","2.3079569339752197","2.302351951599121","2.302351951599121","2.302351951599121"
"15","2.3018994331359863","2.3018994331359863","2.3018994331359863","","",""
"16","2.303924560546875","2.303924560546875","2.303924560546875","2.3030306100845337","2.298074245452881","2.3117666244506836"
"17","2.3018007278442383","2.3018007278442383","2.3018007278442383","2.3043895959854126","2.3038740158081055","2.3049051761627197"
"18","2.2984976768493652","2.2984976768493652","2.2984976768493652","2.3012335300445557","2.3012335300445557","2.3012335300445557"
"19","2.303851366043091","2.303851366043091","2.303851366043091","2.306628465652466","2.306628465652466","2.306628465652466"
"20","2.306973457336426","2.306973457336426","2.306973457336426","","",""
"21","2.303801655769348","2.3015007972717285","2.3061025142669678","2.300944149494171","2.2986929416656494","2.3037452697753906"
"22","2.3072385787963867","2.3072385787963867","2.3072385787963867","","",""
"23","2.3006017208099365","2.3006017208099365","2.3006017208099365","","",""
"24","2.301168441772461","2.301168441772461","2.301168441772461","","",""
"25","2.3007071018218994","2.3007071018218994","2.3007071018218994","2.300854206085205","2.2974624633789062","2.302595615386963"
"26","2.3037633895874023","2.3037633895874023","2.3037633895874023","2.306424140930176","2.306424140930176","2.306424140930176"
"27","2.307358503341675","2.307358503341675","2.307358503341675","2.3038766384124756","2.3038766384124756","2.3038766384124756"
"28","2.3051326274871826","2.3051326274871826","2.3051326274871826","","",""
"29","2.30525541305542","2.30525541305542","2.30525541305542","","",""
"30","2.3027122020721436","2.3027122020721436","2.3027122020721436","","",""
"31","2.3050830364227295","2.3050830364227295","2.3050830364227295","","",""
"32","2.310384750366211","2.310384750366211","2.310384750366211","","",""
"33","2.308864116668701","2.308864116668701","2.308864116668701","2.3062853813171387","2.3057355880737305","2.306835174560547"
"34","2.3019862174987793","2.3019862174987793","2.3019862174987793","2.303304433822632","2.303304433822632","2.303304433822632"
"35","2.3053011894226074","2.3053011894226074","2.3053011894226074","2.293439745903015","2.2906432151794434","2.296236276626587"
"36","2.303295850753784","2.303295850753784","2.303295850753784","2.2928452491760254","2.2928452491760254","2.2928452491760254"
"37","2.301281690597534","2.301281690597534","2.301281690597534","","",""
"38","2.303105354309082","2.303105354309082","2.303105354309082","","",""
"39","2.299435615539551","2.299435615539551","2.299435615539551","2.2988791465759277","2.2988791465759277","2.2988791465759277"
"40","2.3008012771606445","2.3008012771606445","2.3008012771606445","2.3040854930877686","2.3040854930877686","2.3040854930877686"
"41","2.3033065795898438","2.3033065795898438","2.3033065795898438","","",""
"42","2.303773880004883","2.303773880004883","2.303773880004883","2.2995593547821045","2.2995593547821045","2.2995593547821045"
"43","2.3072476387023926","2.3072476387023926","2.3072476387023926","","",""
"44","2.301027774810791","2.301027774810791","2.301027774810791","2.29056453704834","2.29056453704834","2.29056453704834"
"45","2.3066446781158447","2.3066446781158447","2.3066446781158447","2.297013521194458","2.297013521194458","2.297013521194458"
"46","2.3075928688049316","2.3075928688049316","2.3075928688049316","2.305683135986328","2.305683135986328","2.305683135986328"
"47","2.304286003112793","2.304286003112793","2.304286003112793","","",""
"48","2.299049139022827","2.2953696250915527","2.3027286529541016","2.3014012575149536","2.2957749366760254","2.3056564331054688"
"49","2.3040285110473633","2.3040285110473633","2.3040285110473633","","",""
"50","2.3083274364471436","2.3083274364471436","2.3083274364471436","2.303344488143921","2.303344488143921","2.303344488143921"
